"id","fecha","id_servicio","id_usuario","id_dia"
1,"2025-11-03 19:00:00",18,3,1
2,"2025-11-10 19:00:00",18,3,1
3,"2025-11-04 19:00:00",18,3,2
4,"2025-11-11 19:00:00",18,3,2
5,"2025-11-05 19:00:00",18,3,3
6,"2025-11-12 19:00:00",18,3,3
7,"2025-11-03 18:00:00",19,14,2
8,"2025-11-06 18:00:00",19,14,5
9,"2025-11-05 18:00:00",19,14,4
10,"2025-11-05 18:00:00",20,1,3
11,"2025-11-12 18:00:00",20,1,3
12,"2025-11-19 18:00:00",20,1,3
13,"2025-11-26 18:00:00",20,1,3
14,"2025-11-04 18:00:00",20,1,2
15,"2025-11-11 18:00:00",20,1,2
16,"2025-11-18 18:00:00",20,1,2
17,"2025-11-25 18:00:00",20,1,2
18,"2025-11-03 19:00:00",18,7,1
19,"2025-11-10 19:00:00",18,7,1
20,"2025-11-04 19:00:00",18,7,2
21,"2025-11-11 19:00:00",18,7,2
22,"2025-11-05 19:00:00",18,7,3
23,"2025-11-12 19:00:00",18,7,3
24,"2025-11-03 19:00:00",18,14,1
25,"2025-11-10 19:00:00",18,14,1
26,"2025-11-04 19:00:00",18,14,2
27,"2025-11-11 19:00:00",18,14,2
28,"2025-11-05 19:00:00",18,14,3
29,"2025-11-12 19:00:00",18,14,3
30,"2025-11-06 19:00:00",14,11,4
31,"2025-11-13 19:00:00",14,11,4
32,"2025-11-04 18:00:00",13,4,2
33,"2025-11-11 18:00:00",13,4,2
34,"2025-11-18 18:00:00",13,4,2
35,"2025-11-25 18:00:00",13,4,2
36,"2025-11-06 18:00:00",15,18,4
37,"2025-11-13 18:00:00",15,18,4
38,"2025-11-20 18:00:00",15,18,4
39,"2025-11-27 18:00:00",15,18,4
40,"2025-11-05 18:00:00",15,18,3
41,"2025-11-12 18:00:00",15,18,3
42,"2025-11-19 18:00:00",15,18,3
43,"2025-11-26 18:00:00",15,18,3
44,"2025-11-03 19:00:00",18,10,1
45,"2025-11-10 19:00:00",18,10,1
46,"2025-11-04 19:00:00",18,10,2
47,"2025-11-11 19:00:00",18,10,2
48,"2025-11-05 19:00:00",18,10,3
49,"2025-11-12 19:00:00",18,10,3
50,"2025-11-05 18:00:00",20,12,3
51,"2025-11-12 18:00:00",20,12,3
52,"2025-11-19 18:00:00",20,12,3
53,"2025-11-26 18:00:00",20,12,3
54,"2025-11-04 18:00:00",20,12,2
55,"2025-11-11 18:00:00",20,12,2
56,"2025-11-18 18:00:00",20,12,2
57,"2025-11-25 18:00:00",20,12,2
58,"2025-11-03 18:00:00",19,7,2
59,"2025-11-06 18:00:00",19,7,5
60,"2025-11-05 18:00:00",19,7,4
